speed,power
0.000,0.000
0.125,0.000
0.150,0.000
0.225,0.000
0.275,0.000
0.325,4.331
0.400,5.186
0.450,3.826
0.501,1.048
0.526,5.553
0.551,6.498
0.576,5.241
0.626,4.220
0.676,7.974
0.701,9.746
0.726,0.000
0.751,0.000
0.801,7.271
0.826,0.795
0.851,7.350
0.926,1.996
0.951,1.609
0.976,2.064
1.001,6.511
1.026,0.000
1.051,2.085
1.076,0.000
1.101,0.121
1.151,1.208
1.251,3.373
1.276,6.510
1.301,0.000
1.401,4.156
1.426,2.005
1.502,5.352
1.552,0.000
1.652,7.221
1.677,0.000
1.702,2.439
1.827,0.000
1.877,2.359
1.902,7.048
2.027,0.000
2.077,0.000
2.102,0.000
2.177,2.701
2.227,2.869
2.252,0.000
2.402,2.287
2.477,6.947
2.553,2.370
2.578,3.165
2.703,0.667
2.828,7.559
2.853,14.131
2.953,2.894
3.003,3.578
3.028,2.633
3.053,2.836
3.078,3.063
3.128,0.000
3.203,1.360
3.378,4.334
3.403,2.167
3.428,6.819
3.504,0.000
3.529,5.300
3.579,0.000
3.604,1.535
3.629,9.890
3.679,0.000
3.704,2.270
3.729,4.595
3.779,0.000
3.804,0.000
3.879,0.000
3.904,4.453
3.929,4.415
3.954,0.132
3.979,2.030
4.179,1.035
4.304,4.437
4.329,1.043
4.429,0.000
4.530,3.934
4.555,6.824
4.605,13.592
4.730,0.820
4.780,10.444
4.880,0.000
4.905,7.060
4.930,0.946
4.955,1.907
4.980,1.681
5.030,9.519
5.080,2.973
5.130,8.623
5.180,4.525
5.205,0.932
5.255,2.478
5.280,0.113
5.305,11.664
5.430,0.929
5.455,4.454
5.506,3.200
5.556,0.000
5.631,6.184
5.681,3.036
5.706,1.626
5.731,5.631
5.781,0.000
5.806,0.000
5.831,4.380
5.906,1.826
5.931,0.000
5.956,4.292
5.981,2.762
6.006,5.539
6.031,3.912
6.081,3.960
6.106,0.997
6.131,10.864
6.156,2.236
6.181,5.347
6.231,6.491
6.356,5.842
6.406,6.446
6.456,3.510
6.481,10.262
6.607,5.682
6.682,10.044
6.732,9.079
6.757,1.530
6.782,0.000
6.832,8.616
6.857,0.000
6.957,0.000
6.982,4.187
7.057,1.485
7.082,9.779
7.107,0.000
7.157,7.973
7.182,0.067
7.207,8.238
7.232,9.406
7.257,5.252
7.307,4.243
7.382,4.597
7.407,3.122
7.432,0.000
7.508,9.034
7.558,6.853
7.608,8.471
7.633,14.788
7.683,7.245
7.708,10.297
7.733,4.443
7.808,13.142
7.833,11.321
7.858,9.385
7.883,5.947
7.908,14.511
7.933,5.696
8.033,6.983
8.083,5.385
8.133,11.749
8.183,7.830
8.208,7.785
8.308,9.812
8.408,6.656
8.458,3.000
8.534,11.422
8.634,13.113
8.659,16.413
8.684,9.420
8.759,8.937
8.834,10.760
8.859,14.160
8.884,16.697
8.959,5.554
9.209,11.120
9.259,13.774
9.309,12.881
9.434,18.036
9.535,18.042
9.560,9.911
9.610,14.055
9.735,17.393
9.810,24.164
9.835,15.394
9.860,14.845
9.885,27.136
9.935,13.784
9.960,13.657
9.985,19.354
10.035,16.139
10.085,20.709
10.110,26.427
10.135,12.624
10.160,16.474
10.185,22.305
10.210,20.704
10.235,30.341
10.260,24.293
10.285,20.636
10.360,28.181
10.385,22.216
10.485,13.520
10.511,0.000
10.561,22.758
10.661,26.927
10.711,24.942
10.736,15.638
10.761,23.688
10.886,30.483
10.961,31.153
10.986,27.688
11.011,28.452
11.036,28.221
11.111,31.336
11.161,29.601
11.211,31.530
11.286,34.693
11.311,40.224
11.336,33.589
11.361,38.184
11.386,38.636
11.612,31.214
11.662,41.486
11.687,42.485
11.737,38.552
11.787,36.787
11.812,31.840
11.862,41.692
11.937,51.681
11.962,37.294
11.987,47.268
12.037,39.584
12.162,41.599
12.187,45.056
12.212,43.198
12.262,46.136
12.287,43.454
12.337,47.282
12.362,40.519
12.387,37.159
12.412,52.952
12.462,44.745
12.487,44.735
12.538,44.801
12.563,42.336
12.588,54.079
12.613,51.471
12.663,44.880
12.713,51.149
12.738,47.344
12.788,50.658
12.863,47.787
12.888,53.954
12.963,53.281
12.988,49.796
13.038,58.168
13.263,62.830
13.313,59.735
13.338,64.541
13.388,62.315
13.438,65.605
13.539,65.889
13.564,63.383
13.714,61.127
13.739,63.265
13.939,63.910
13.964,68.232
13.989,65.596
14.014,69.240
14.039,66.550
14.139,66.596
14.189,67.263
14.264,67.512
14.289,68.616
14.339,65.642
14.364,76.551
14.389,64.221
14.489,71.763
14.540,73.652
14.590,67.269
14.615,72.016
14.640,79.586
14.715,78.499
14.740,69.699
14.765,82.147
14.840,75.466
14.865,72.135
15.065,73.911
15.115,78.284
15.140,77.725
15.165,69.248
15.190,77.164
15.215,80.183
15.240,71.787
15.265,80.390
15.315,87.230
15.340,78.987
15.415,83.251
15.465,80.418
15.490,78.528
15.541,85.891
15.591,81.239
15.666,86.288
15.716,87.285
15.741,79.720
15.766,84.133
15.816,87.741
15.916,78.991
15.991,78.994
16.041,78.632
16.066,86.611
16.091,90.412
16.191,85.173
16.241,87.192
16.291,85.999
16.366,88.042
16.441,89.134
16.466,96.592
16.567,87.663
16.592,92.997
16.617,97.274
16.667,92.753
16.692,89.527
16.717,93.698
16.792,90.171
16.842,97.532
16.917,90.761
16.942,94.925
16.967,95.593
16.992,91.808
17.017,91.491
17.067,94.093
17.117,91.270
17.142,95.622
17.167,0.000
